"","respect_m_rater1_male","control_m_rater1_male","expertise_m_rater1_male","fighting_m_rater1_male","respect_m_rater7_male","control_m_rater7_male","expertise_m_rater7_male","fighting_m_rater7_male","respect_f_rater5_female","control_f_rater5_female","expertise_f_rater5_female","fighting_f_rater5_female","likable_m_rater1_male","feared_m_rater1_male","intelligent_m_rater1_male","spouse_m_rater1_male","likable_f_rater5_female","feared_f_rater5_female","intelligent_f_rater5_female","spouse_f_rater5_female","decisions_f_rater5_female","likable_m_rater7_male","feared_m_rater7_male","intelligent_m_rater7_male","spouse_m_rater7_male","decisions_m_rater7_male","allies_m_rater7_male","hunting_m_rater7_male","allies_f_rater5_female","farming_f_rater5_female","parenting_f_rater5_female","conflict_f_rater5_female","decisions_m_rater1_male","allies_m_rater1_male","conflict_m_rater1_male","respect_f_rater6_female","fighting_f_rater6_female","expertise_f_rater6_female","control_f_rater6_female","likable_f_rater6_female","feared_f_rater6_female","intelligent_f_rater6_female","spouse_f_rater6_female","decisions_f_rater6_female","parenting_m_rater1_male","hunting_m_rater1_male","farming_m_rater1_male","honey_m_rater1_male","respect_f_rater4_female","control_f_rater4_female","expertise_f_rater4_female","fighting_f_rater4_female","likable_f_rater4_female","feared_f_rater4_female","intelligent_f_rater4_female","respected_m_rater3_male","control_m_rater3_male","expertise_m_rater3_male","fighting_m_rater3_male","likable_m_rater3_male","parenting_f_rater6_female","feared_m_rater3_male","intelligent_m_rater3_male","spouse_m_rater3_male","spouse_f_rater4_female","parenting_f_rater4_female","respect_m_rater4_female","fighting_m_rater4_female","parenting_m_rater3_male","likable_m_rater6_female","feared_m_rater6_female","intelligent_m_rater6_female","respect_m_rater6_female","fighting_m_rater6_female","expertise_m_rater6_female","control_m_rater6_female","spouse_m_rater6_female","likable_m_rater4_female","kin_m_rater3_male","expertise_m_rater4_female","feared_m_rater4_female","intelligent_m_rater4_female","control_m_rater4_female","spouse_m_rater4_female","parenting_m_rater7_male","kin_m_rater7_male","respected_f_rater3_male","fighting_f_rater3_male","expertise_f_rater3_male","control_f_rater3_male","parenting_m_rater6_female","likable_f_rater3_male","feared_f_rater3_male","intelligent_f_rater3_male","spouse_f_rater3_male","respect_f_rater2_male","fighting_f_rater2_male","expertise_f_rater2_male","control_f_rater2_male","intelligent_f_rater2_male","likable_f_rater2_male","feared_f_rater2_male","spouse_f_rater2_male","parenting_f_rater2_male","kin_m_rater6_female","kin_f_rater6_female","parenting_f_rater3_male","kin_f_rater3_male","parenting_m_rater4_female","kin_m_rater4_female","kin_f_rater4_female","kin_f_rater2_male","kin_m_rater2_male","kin_f_rater5_female","farming_f_rater6_female","conflict_f_rater6_female","allies_f_rater6_female","decisions_m_rater3_male","decisions_f_rater4_female","farming_f_rater4_female","conflict_f_rater4_female","allies_f_rater4_female","prosocial_f_rater4_female","allies_m_rater3_male","hunting_m_rater3_male","conflict_m_rater3_male","conflict_m_rater7_male","prosocial_f_rater6_female","farming_m_rater3_male","decisions_m_rater6_female","prosocial_m_rater3_male","decisions_m_rater4_female","conflict_m_rater6_female","prosocial_m_rater7_male","decisions_f_rater3_male","decisions_f_rater2_male","allies_m_rater6_female","prosocial_m_rater6_female","conflict_f_rater3_male","allies_f_rater3_male","prosocial_f_rater3_male","conflict_m_rater4_female","allies_m_rater4_female","prosocial_m_rater4_female","conflict_f_rater2_male","prosocial_f_rater2_male","allies_f_rater2_male","prosocial_m_rater2_male","prosocial_f_rater5_female","honey_m_rater3_male","coffee_m_rater3_male","hunting_m_rater4_female","hunting_m_rater6_female","honey_m_rater6_female","farming_m_rater6_female","farming_m_rater7_male","honey_m_rater7_male","coffee_m_rater7_male","farming_f_rater2_male","coffee_m_rater6_female","farming_f_rater3_male","farming_m_rater4_female","honey_m_rater4_female","coffee_m_rater4_female","coffee_m_rater2_male"
"1","5500","5500","5626","5405","5500","5500","5500","5578","5357","5589","5481","5357","5499","5626","5500","5569","5589","5357","5318","5596","5579","5499","5578","5500","5500","5500","5615","5403","5579","5357","5357","5589","5499","5615","5499","5589","5579","5589","5589","5318","5579","5318","5636","5481","5499","5578","5626","5615","5596","5357","5387","5357","5634","5357","5634","5605","5500","5500","5251","5238","5481","5626","5499","5500","5634","5636","5500","5618","5500","5569","5499","5613","5499","5251","5615","5500","5500","5499","5238","5499","5626","5536","5238","5372","5500","5615","5634","5356","5634","5634","5613","5634","5579","5319","5589","5634","5357","5634","5579","5318","5589","5357","5481","5634","5618","5481","5589","5634","5500","5371","5634","5443","5618","5481","5570","5319","5589","5238","5318","5357","5634","5634","5634","5238","5578","5238","5500","5318","5626","5238","5238","5536","5499","5500","5579","5634","5536","5613","5481","5579","5634","5605","5499","5615","5579","5443","5634","5597","5634","5626","5613","5578","5371","5626","5569","5569","5371","5615","5634","5615","5579","5626","5615","5615","5613"
"2","5371","5499","5615","5251","5499","5499","5499","5408","5320","5481","5357","5579","5500","5578","5499","5604","5596","5579","5320","5579","5570","5500","5626","5499","5499","5499","5536","5626","5570","5570","5570","5596","5500","5499","5500","5590","5406","5481","5579","5319","5596","5319","5589","5589","5500","5371","5615","5371","5357","5481","5481","5481","5596","5356","5319","5499","5499","5499","5269","5569","5589","5499","5536","5536","5596","5634","5499","5626","5371","5536","5626","5536","5238","5626","5569","5613","5536","5500","5626","5371","5618","5499","5536","5536","5626","5626","5596","5357","5318","5319","5500","5318","5387","5634","5596","5636","5485","5636","5400","5319","5596","5387","5636","5443","5597","5636","5388","5481","5536","5536","5596","5596","5376","5357","5357","5636","5357","5500","5319","5356","5481","5481","5481","5615","5371","5613","5499","5388","5613","5615","5615","5499","5500","5499","5596","5443","5500","5238","5634","5357","5589","5597","5405","5536","5570","5318","5596","5376","5357","5371","5615","5626","5578","5371","5238","5641","5626","5371","5319","5613","5589","5569","5536","5536","5615"
"3","5615","5615","5613","5578","5536","5615","5626","5407","5579","5596","5570","5570","5615","5569","5597","5638","5481","5570","5356","5570","5356","5641","5251","5536","5615","5536","5500","5578","5640","5579","5579","5636","5615","5500","5371","5596","5357","5596","5481","5481","5570","5320","5596","5579","5371","5405","5371","5626","5481","5639","5634","5387","5481","5320","5481","5500","5613","5613","5626","5371","5319","5371","5597","5376","5485","5480","5616","5617","5238","5615","5618","5499","5618","5408","5371","5615","5569","5281","5500","5578","5372","5405","5500","5499","5641","5500","5589","5570","5320","5318","5536","5319","5400","5596","5634","5388","5579","5443","5388","5596","5634","5485","5480","5318","5626","5388","5634","5636","5371","5615","5636","5318","5237","5579","5481","5596","5481","5499","5481","5387","5596","5480","5480","5371","5499","5632","5632","5357","5371","5536","5499","5615","5536","5371","5634","5596","5615","5269","5596","5596","5319","5615","5597","5371","5642","5596","5443","5238","5579","5615","5499","5618","5617","5615","5641","5371","5499","5376","5596","5371","5481","5499","5632","5597","5536"
"4","5499","5626","5536","5616","5618","5536","5615","5405","5596","5636","5579","5640","5536","5615","5536","5500","5636","5640","5357","5640","5485","5536","5405","5615","5536","5604","5499","5499","5636","5640","5640","5481","5536","5371","5269","5636","5356","5636","5570","5589","5400","5481","5579","5406","5370","5536","5251","5408","5319","5596","5357","5356","5356","5319","5636","5536","5371","5371","5614","5597","5320","5251","5500","5499","5387","5481","5536","5578","5641","5500","5500","5615","5615","5618","5613","5536","5615","5370","5237","5569","5569","5500","5499","5597","5615","5499","5319","5579","5483","5589","5615","5443","5481","5589","5636","5319","5400","5319","5570","5443","5636","5570","5634","5319","5613","5357","5636","5480","5405","5500","5481","5319","5250","5596","5579","5589","5356","5536","5320","5388","5636","5596","5596","5597","5641","5615","5403","5481","5499","5500","5376","5500","5238","5626","5481","5318","5499","5536","5589","5387","5318","5614","5626","5597","5400","5319","5318","5237","5481","5613","5371","5499","5618","5616","5626","5499","5536","5626","5481","5499","5642","5500","5626","5626","5371"
"5","5626","5536","5371","5408","5615","5403","5641","5251","5481","5320","5320","5485","5618","5499","5615","5499","5400","5400","5387","5636","5484","5615","5408","5604","5618","5618","5371","5408","5634","5481","5320","5388","5403","5370","5536","5485","5400","5388","5357","5636","5387","5357","5649","5443","5626","5626","5536","5536","5636","5319","5596","5639","5480","5318","5485","5615","5615","5615","5267","5605","5318","5250","5238","5250","5579","5319","5615","5569","5605","5371","5371","5500","5500","5578","5238","5238","5613","5371","5376","5632","5597","5618","5605","5618","5499","5376","5318","5400","5485","5636","5371","5596","5596","5636","5320","5596","5387","5596","5640","5320","5443","5400","5406","5320","5615","5320","5443","5596","5626","5626","5319","5634","5372","5388","5400","5579","5320","5371","5480","5400","5480","5320","5320","5632","5615","5372","5536","5356","5615","5371","5371","5405","5613","5536","5319","5319","5613","5500","5319","5388","5320","5407","5536","5405","5640","5320","5319","5372","5636","5408","5597","5371","5536","5499","5371","5615","5569","5499","5636","5626","5640","5405","5269","5371","5250"
"6","5613","5597","5597","5614","5626","5626","5536","5237","5636","5357","5318","5387","5376","5500","5604","5376","5570","5485","5388","5320","5640","5403","5372","5371","5597","5597","5626","5371","5596","5320","5636","5400","5376","5281","5626","5570","5570","5320","5485","5357","5357","5387","5642","5318","5536","5614","5499","5499","5639","5356","5388","5483","5320","5387","5318","5250","5536","5536","5405","5615","5357","5238","5237","5269","5570","5318","5614","5536","5613","5370","5237","5371","5536","5370","5403","5269","5499","5536","5403","5626","5500","5626","5618","5605","5536","5618","5636","5640","5484","5649","5238","5636","5590","5318","5388","5318","5590","5318","5485","5481","5318","5579","5589","5481","5499","5319","5318","5443","5615","5578","5400","5320","5597","5318","5589","5649","5319","5615","5443","5320","5443","5319","5319","5613","5408","5618","5615","5320","5536","5269","5500","5578","5269","5403","5589","5636","5371","5615","5318","5589","5481","5500","5267","5578","5485","5481","5320","5618","5570","5536","5626","5615","5615","5536","5615","5626","5408","5536","5318","5376","5357","5615","5499","5578","5376"
"7","5370","5376","5376","5618","5597","5597","5604","5269","5640","5318","5388","5639","5403","5618","5376","5615","5579","5483","5589","5400","5636","5569","5499","5641","5376","5403","5597","5615","5589","5400","5318","5579","5604","5269","5618","5387","5485","5319","5388","5387","5356","5388","5640","5319","5615","5617","5500","5613","5443","5634","5400","5579","5319","5388","5443","5237","5618","5618","5618","5536","5484","5615","5604","5615","5400","5406","5613","5616","5536","5238","5238","5618","5569","5617","5376","5499","5269","5269","5405","5618","5281","5267","5569","5376","5371","5267","5388","5387","5649","5388","5267","5320","5320","5320","5649","5320","5484","5388","5387","5634","5319","5356","5649","5636","5500","5589","5481","5318","5372","5499","5387","5481","5238","5570","5596","5481","5318","5281","5406","5319","5319","5443","5443","5569","5618","5499","5269","5319","5597","5499","5536","5372","5371","5641","5636","5481","5605","5370","5443","5400","5636","5499","5269","5626","5387","5634","5481","5626","5596","5618","5536","5614","5626","5269","5499","5376","5615","5500","5320","5408","5596","5267","5500","5499","5597"
"8","5407","5613","5499","5638","5371","5371","5371","5626","5642","5634","5636","5483","5407","5536","5613","5597","5640","5634","5579","5481","5634","5597","5500","5403","5251","5615","5376","5614","5484","5596","5400","5570","5372","5597","5613","5357","5590","5318","5356","5388","5483","5485","5320","5320","5604","5616","5618","5617","5649","5400","5483","5484","5443","5400","5406","5597","5626","5626","5578","5499","5579","5614","5615","5408","5406","5579","5605","5615","5372","5499","5376","5597","5597","5632","5626","5371","5267","5267","5407","5617","5536","5376","5371","5408","5267","5371","5649","5406","5642","5320","5269","5649","5484","5649","5319","5387","5483","5589","5357","5636","5480","5649","5579","5356","5536","5318","5357","5319","5613","5604","5579","5636","5403","5636","5636","5406","5636","5613","5597","5318","5318","5590","5590","5618","5626","5500","5618","5443","5618","5618","5613","5371","5615","5597","5318","5320","5597","5371","5579","5406","5642","5618","5618","5616","5357","5636","5636","5250","5388","5499","5372","5376","5597","5267","5536","5408","5614","5641","5388","5500","5634","5597","5618","5500","5626"
"9","5403","5238","5500","5637","5604","5604","5376","5618","5318","5443","5400","5356","5372","5617","5370","5618","5388","5387","5570","5589","5596","5604","5615","5376","5626","5371","5370","5536","5483","5589","5634","5640","5618","5376","5604","5481","5387","5443","5320","5485","5639","5570","5639","5596","5403","5615","5597","5376","5387","5590","5484","5485","5590","5406","5579","5569","5250","5250","5371","5237","5636","5597","5408","5238","5480","5639","5604","5500","5403","5403","5403","5269","5371","5403","5408","5618","5238","5251","5408","5616","5407","5632","5267","5250","5269","5408","5481","5484","5579","5596","5370","5388","5640","5443","5318","5589","5640","5481","5484","5589","5481","5483","5388","5483","5371","5443","5485","5320","5267","5405","5484","5484","5613","5320","5640","5318","5406","5250","5590","5406","5406","5579","5579","5250","5613","5371","5371","5589","5604","5250","5604","5597","5267","5604","5320","5388","5370","5372","5649","5356","5649","5626","5616","5613","5484","5483","5356","5403","5484","5614","5376","5536","5613","5376","5618","5597","5403","5237","5484","5370","5570","5371","5597","5267","5237"
"10","5536","5250","5403","5632","5376","5641","5569","5638","5356","5387","5596","5320","5578","5637","5371","5613","5387","5481","5484","5484","5590","5605","5618","5269","5372","5641","5251","5597","5481","5388","5443","5443","5626","5403","5238","5480","5443","5480","5319","5570","5640","5400","5480","5636","5376","5597","5613","5614","5485","5642","5485","5570","5318","5443","5590","5371","5269","5269","5632","5250","5485","5500","5371","5613","5388","5640","5597","5597","5626","5613","5269","5578","5376","5405","5499","5632","5250","5250","5499","5615","5250","5250","5626","5615","5605","5250","5400","5485","5400","5387","5372","5589","5642","5480","5387","5443","5649","5320","5639","5388","5320","5481","5570","5649","5370","5596","5483","5590","5403","5372","5639","5387","5626","5589","5406","5320","5579","5626","5634","5443","5579","5406","5406","5499","5536","5356","5597","5596","5500","5403","5626","5267","5250","5615","5443","5589","5578","5376","5636","5320","5579","5372","5408","5408","5639","5356","5357","5604","5320","5376","5604","5372","5499","5618","5578","5536","5405","5638","5357","5403","5400","5605","5641","5250","5372"
